,x1,x2,x3,dx1,dx2,dx3,rkStep
16.37,-6.228859345354881,0.9511307850650554,32.43634506354751,71.79990130419937,26.682238623231864,-92.42138004866722,4.0
16.371,-6.157285806158126,0.9773554271727551,32.343999399368826,71.3464123333088,25.76989041652034,-92.26852176428595,3.0
16.372,-6.086168014265653,1.002676238146527,32.25181081278826,70.8884425241218,24.874558733354213,-92.10728488337362,3.0
16.373,-6.01551034356515,1.027110180551371,32.15978750375399,70.4262052411652,23.996134575313803,-91.93802525843181,3.0
16.374,-5.945316956196678,1.0506741047660555,32.067937320689694,69.95991060962734,23.134502624675665,-91.76109009234158,3.0
16.375,-5.8755918058064704,1.0733847428319534,31.9762677691217,69.48976548638424,22.289541579111887,-91.57681798378565,3.0
16.376,-5.806338640829604,1.0952587026318994,31.884786020258858,69.01597343461503,21.461124478151763,-91.38553898082012,3.0
16.377,-5.737561007793962,1.1163124623921419,31.793498919511883,68.53873470186105,20.649119021307765,-91.18757464210063,3.0
16.378,-5.669262254644629,1.1365623654981531,31.70241299494804,68.05824620142782,19.85338787786655,-90.9832381052964,3.0
16.379,-5.601445534088285,1.1560246156151621,31.611534465678048,67.57470149703447,19.07378898836306,-90.77283416224181,3.0
16.38,-5.5341138069473255,1.174715272107199,31.520869250159233,67.08829079054524,18.310175857655288,-90.55665934035828,3.0
16.381,-5.467269845526859,1.1926502457443997,31.430422974417127,66.59920091271259,17.562397839688913,-90.33500198993089,3.0
16.382,-5.400916236990264,1.209845294690738,31.340200980178068,66.10761531681003,16.830300413963787,-90.10814237681632,3.0
16.383,-5.335055386737766,1.2263160207646184,31.25020833290393,65.61371407502384,16.113725453714473,-89.87635278016691,3.0
16.384,-5.269689521787969,1.242077865963326,31.160449829727657,65.11767387751294,15.412511485889079,-89.63989759478544,2.0
16.385,-5.204820694160324,1.2571461092430878,31.070930007286083,64.61966803403412,14.726493942997433,-89.39903343773443,3.0
16.386,-5.14045078425327,1.2715358635472955,30.981653149442167,64.11986647800566,14.055505406873921,-89.15400925882362,4.0
16.387,-5.07658150421668,1.2852620730745734,30.89262329489428,63.618435772912534,13.399375844452031,-88.90506645462631,3.0
16.388,-5.0132144013189235,1.2983395107781954,30.803844244672863,63.115539120971185,12.757932835670982,-88.65243898569557,3.0
16.389,-4.9503508613026055,1.310782776089867,30.71531956951622,62.61133637392472,12.131001793576582,-88.39635349664034,4.0
16.39,-4.887992111727825,1.322606292859861,30.627052617123994,62.10598404587686,11.518406176736157,-88.13702943875123,3.0
16.391000000000002,-4.826139225303874,1.3338243075053422,30.53904651929003,61.599635328092155,10.919967694111534,-87.87467919488871,2.0
16.392,-4.764793123203367,1.3444508873601966,30.451304198906797,61.09244010563563,10.335506502470448,-87.60950820632999,3.0
16.393,-4.703954578358711,1.3544999192185991,30.36382837684186,60.5845449757731,9.764841396480904,-87.34171510130646,4.0
16.394000000000002,-4.643624218741449,1.3639851080647207,30.276621578688122,60.0760932680617,9.207789991640833,-87.07149182498034,3.0
16.395,-4.583802530618215,1.3729199759822555,30.18968614137991,59.5672250660047,8.664168900134605,-86.79902377059018,3.0
16.396,-4.524489861785078,1.3813178612361778,30.10302421967854,59.058077230212554,8.133793899787857,-86.52448991154183,3.0
16.397000000000002,-4.465686424779512,1.3891919175198615,30.016637792527632,58.54878342299373,7.616480096268107,-86.24806293422222,3.0
16.398,-4.40739230006481,1.3965551133613994,29.930528669271983,58.03947413426209,7.1120420786423,-85.96990937130379,3.0
16.399,-4.349607439188709,1.4034202316821067,29.84469849574408,57.53027670870816,6.620294068466563,-85.69018973534997,3.0
16.4,-4.292331667916071,1.409799869500731,29.75914876021963,57.021315374168026,6.141050062565286,-85.40905865253427,3.0
