,x1,x2,x3,dx1,dx2,dx3
14.0,-0.47475136791025924,0.13360908980917371,0.014995576820477865,-0.2128867736845615,-0.9560611793477523,-0.0006331032339053693
14.100000000000001,-0.4869381669925699,0.036262819466907466,0.014552390548416276,-0.01194040905333851,-0.9887263025737786,-0.008518134118462358
14.200000000000001,-0.4796159129564621,-0.06059075518271943,0.014122302410164109,0.1656585964835535,-0.9629026586116606,-2.4483391440973876e-05
14.3,-0.45346064643926853,-0.15312897476291681,0.013704925297365098,0.34192532710900986,-0.8899317353049879,0.0017869204450248338
14.4,-0.4098802282192616,-0.23777562863548926,0.01329988354244392,0.5054036326324389,-0.8031163192644982,-0.0005384178272752251
14.5,-0.3509441403256657,-0.31133758256993244,0.012906812580480006,0.6528786754191832,-0.6717420262554978,-0.0018936034272784056
14.600000000000001,-0.2792884973770977,-0.37112354298844596,0.012525358621074513,0.7583071127040162,-0.5317243326064612,0.009471419834607243
14.700000000000001,-0.19800051764118723,-0.415040612103935,0.01215517832991506,0.8646871848420004,-0.36159524552066913,-0.020758843774797035
14.8,-0.1104874319243294,-0.4416652531143304,0.01179593851975169,0.8892894950408406,-0.1911572974574129,-0.006375346390588109
14.9,-0.020335325609371787,-0.4502863641344582,0.011447315850505832,0.8853872910917403,-0.0004057685239158941,0.001807458942483658
15.0,0.06883630131861984,-0.44091930874973756,0.011108996538242428,0.8847390568421121,0.1828321519380287,-0.006957686793223703
15.100000000000001,0.1535184165301206,-0.41429092311167054,0.010780676072743202,0.8139628601703486,0.3540908803278473,-0.0003927716432229199
15.200000000000001,0.23044911743632399,-0.371796667535502,0.010462058943426911,0.7205048887479012,0.5027590262224466,-0.022657440834870687
15.3,0.29673780846530584,-0.31543216965025894,0.010152858373369872,0.5899787808185041,0.6197212654221168,-0.018150726216585103
15.4,0.34997222715346066,-0.24770237496392364,0.009852796061187365,0.4725941646856225,0.7168416395931564,-0.01625070667960557
15.5,0.38830442373489793,-0.1715123430829959,0.009561601930543614,0.29789081014569624,0.8044845302561238,-0.0030107453488410606
15.600000000000001,0.4105127088367477,-0.09004437412974599,0.009279013887064843,0.13513293811077337,0.819728644084458,0.00907765092737488
15.700000000000001,0.41603759392501977,-0.006626598042828596,0.009004777582436669,-0.027376232252284128,0.8415352089440657,0.00017932657895012227
15.8,0.4049908173454418,0.07540160438049517,0.008738646185473398,-0.19164295504048273,0.8069766046836088,0.007497395309148216
15.9,0.3781376317472678,0.15282196078724927,0.008480380159953367,-0.33549525125296775,0.7418913805796669,0.005907920628368584
16.0,0.33685358322257847,0.222662253521791,0.008229747049020136,-0.47921129060067214,0.6476936506908219,0.0003407985949875074
16.1,0.28305799747112403,0.2823090555972968,0.007986521265955605,-0.5997901058135903,0.5526743358661677,-0.015720584684739868
16.2,0.2191272661208319,0.3296040372970692,0.007750483891136797,-0.6884355997046955,0.3933588700769812,0.02733199461559799
16.3,0.14779176437544012,0.3629203579567344,0.007521422474993366,-0.7365539227793638,0.2506967674398191,-0.0019111231886123374
16.400000000000002,0.07202080299387728,0.3812165145080101,0.007299130846788677,-0.7684124992492297,0.12559643104987891,-0.00790311391009
16.5,-0.005099596108116921,0.38406596242801844,0.007083408929052217,-0.7665071366871344,-0.04941826387118251,0.017239530745416343
16.6,-0.0804911222145294,0.37166181675621346,0.0068740625574963445,-0.7399360068659241,-0.19937787358988995,0.001792688945886905
16.7,-0.15120482931207144,0.34479694061148164,0.006670903306255371,-0.6848636627116321,-0.3298396952119983,0.006116271332286861
