,x1,x2,dx1,dx2
0.0,2.0,0.0,-0.2,-4.0
0.3787878787878788,5.044e-321,,,
0.7575757575757576,6.95229653025416e-310,0.0,-6.952296530254e-311,-1.390459306050833e-309
1.1363636363636362,6.01347001699904e-154,1.3385685901028802e-152,2.6711237101887613e-152,-2.541262593502688e-153
1.5151515151515151,6.520206972229488e+252,5.285579080760028e+180,-6.520206972229488e+251,-1.3040413944458976e+253
1.893939393939394,1.6933760642857408e-152,1.7091182043687953e+214,3.4182364087375906e+214,-1.7091182043687953e+213
2.2727272727272725,1.0626340515740455e+248,9.195965807675939e+170,-1.0626340515740455e+247,-2.125268103148091e+248
2.6515151515151514,2.4276685572698418e-154,9.336020998898906e+77,1.867204199779781e+78,-9.336020998898906e+76
3.0303030303030303,1.1444805354521902e+243,6.013470016991717e-154,-1.1444805354521902e+242,-2.2889610709043805e+243
3.409090909090909,4.4759381595343414e-91,6.013345121318106e-154,-4.475938159534342e-92,-8.951876319068683e-91
3.787878787878788,1.0393551783504564e-28,1.0595729310755517e+214,2.1191458621511035e+214,-1.0595729310755518e+213
4.166666666666667,6.013469534008707e-154,6.013470016999068e-154,1.1425593080597267e-153,-1.262828606971732e-153
4.545454545454545,3.684242428056898e+180,1.459133925609568e-152,-3.6842424280568985e+179,-7.368484856113796e+180
4.924242424242424,8.880606158380586e+252,2.645216861684431e+185,-8.880606158380586e+251,-1.776121231676117e+253
5.303030303030303,6.185863038652944e+223,1.4692210886274718e+195,-6.185863038652945e+222,-1.2371726077305888e+224
5.681818181818182,9.091548620666879e+223,5.98150397505301e-154,-9.091548620666879e+222,-1.8183097241333758e+224
6.0606060606060606,3.776771094372443e+180,1.9608654576657068e+243,3.9217309153314135e+243,-1.960865457665707e+242
6.4393939393939394,8.022362316687998e-95,2.1394586562629555e+161,4.278917312525911e+161,-2.1394586562629557e+160
6.818181818181818,6.013470016991708e-154,9.441927735931107e+179,1.8883855471862215e+180,-9.441927735931108e+178
7.196969696969697,1.46921997786031e+195,8.828938792372478e+199,1.7657862892545175e+200,-8.831877232328199e+198
7.575757575757576,2.08509529048959e-115,2.4372265701332117e-152,-2.0850952904895898e-116,-4.17019058097918e-115
7.954545454545454,5.981475434653989e-154,3.6245934513588376e+228,7.249186902717675e+228,-3.6245934513588377e+227
8.333333333333334,2.5934543233288877e+161,1.0589415649643596e-153,-2.593454323328888e+160,-5.186908646657775e+161
8.712121212121213,1.1736507809456926e+214,6.01347001699904e-154,-1.1736507809456927e+213,-2.347301561891385e+214
9.09090909090909,3.0762802841949657e+262,1.2761759795340525e-152,-3.076280284194966e+261,-6.1525605683899314e+262
9.469696969696969,1.9508766423214615e+227,4.8143362783581e+199,-1.9508766423214618e+226,-3.901753284642923e+227
9.848484848484848,9.78749661787342e+199,1.574342830012993e+161,-9.78749661787342e+198,-1.957499323574684e+200
10.227272727272727,2.851686525352624e-109,6.01347001699904e-154,-2.851686525352624e-110,-5.703373050705248e-109
10.606060606060606,5.500288870180272e+247,2.19341581181172e-152,-5.500288870180272e+246,-1.1000577740360544e+248
10.984848484848484,1.0599635493387438e-153,1.1736507809456926e+214,2.347301561891385e+214,-1.1736507809456927e+213
11.363636363636363,6.01347001699904e-154,3.1562685831567183e+180,6.3125371663134365e+180,-3.1562685831567184e+179
11.742424242424242,1.876734527471714e-152,1.0219014190386966e-152,1.856129385330222e-152,-3.855659196847297e-152
12.121212121212121,9.294500745411905e+242,1.7887962191491546e+161,-9.294500745411905e+241,-1.858900149082381e+243
12.5,2.1743671067510716e+243,6.534430255888737e+179,-2.174367106751072e+242,-4.348734213502143e+243
12.878787878787879,6.428707391869051e+29,2.427661394516846e-154,-6.428707391869052e+28,-1.2857414783738102e+30
13.257575757575758,4.009790486504005e+87,2.4659981871461174e-154,-4.009790486504005e+86,-8.01958097300801e+87
13.636363636363637,2.4737980795715994e-91,2.440412959841244e-154,-2.4737980795715995e-92,-4.947596159143199e-91
14.015151515151516,1.2517557638314735e+232,1.4361502380344316e+161,-1.2517557638314736e+231,-2.503511527662947e+232
14.393939393939394,2.1998035010550274e-152,2.4656154832228554e-154,-1.7066804044104564e-153,-4.4020726175932775e-152
14.772727272727273,6.013470016999068e-154,1.9430215463312174e+227,3.886043092662435e+227,-1.9430215463312176e+226
15.151515151515152,1.720512809169813e+243,5.824805503706758e+252,1.1649611007241464e+253,-5.824805538117014e+251
15.53030303030303,5.8310877848532475e+252,9.753946595357528e+199,-5.831087784853248e+251,-1.1662175569706495e+253
15.909090909090908,4.261373581401101e+257,2.4319442070555936e-152,-4.2613735814011014e+256,-8.522747162802202e+257
16.28787878787879,6.013344347806201e-154,7.172367809510204e+252,1.4344735619020409e+253,-7.172367809510205e+251
16.666666666666668,6.013470015117127e-154,4.475938159070003e-91,8.951876318140006e-91,-4.475938159070003e-92
17.045454545454547,6.01347001699904e-154,1.6e-322,-6.01347001699904e-155,-1.202694003399808e-153
17.424242424242426,0.0,0.0,0.0,-0.0
17.803030303030305,0.0,0.0,0.0,-0.0
18.18181818181818,0.0,0.0,0.0,-0.0
18.56060606060606,0.0,0.0,0.0,-0.0
18.939393939393938,0.0,0.0,0.0,-0.0
19.318181818181817,0.0,0.0,0.0,-0.0
19.696969696969695,0.0,0.0,0.0,-0.0
