,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
0.037,1.5651707519284415,-0.0015597593566005236,-0.30386133862849524,-0.08315799917122882,-8.348283763207489,-1.9238312669203697,3.0
0.038,1.5648627125889816,-0.0016438723730675126,-0.3122212447697432,-0.08506106485239073,-8.371710315723897,-1.882018191790369,3.0
0.039,1.5645463014491026,-0.0017298672677449635,-0.32060511967018296,-0.08692147563077823,-8.396218085531368,-1.8385253519095122,3.0
0.04,1.5642214940026427,-0.001817700549747404,-0.3290140349191843,-0.0887375634497407,-8.421787776968234,-1.793376199995988,3.0
0.041,1.5638882646815382,-0.0019073270718955922,-0.3374490426908383,-0.09050768381503509,-8.448399854983935,-1.7465944082760079,3.0
0.042,1.5635465868753593,-0.0019987000543888484,-0.3459111755041187,-0.09223021601469746,-8.476034544255691,-1.6982038691868127,3.0
0.043000000000000003,1.5631964329510846,-0.0020917711086975107,-0.3544014459822211,-0.09390356333953642,-8.50467182843409,-1.64822869590938,3.0
0.044,1.562837774273118,-0.0021864902616761613,-0.36292084661120877,-0.09552615330407373,-8.534291449511523,-1.5966932227383053,3.0
0.045,1.562470581223547,-0.0022828059798979303,-0.37147034949809754,-0.09709643786777333,-8.564872907329399,-1.5436220052827958,3.0
0.046,1.5620948232226424,-0.0023806651942100978,-0.3800509061285228,-0.09861289365638382,-8.596395459242096,-1.4890398204932445,3.0
0.047,1.5617104687496006,-0.0024800133245110796,-0.38866344712414275,-0.1000740221832281,-8.62883811992367,-1.432971666531624,3.0
0.048,1.56131748536353,-0.002580794304748471,-0.39730888199993747,-0.1014783500702727,-8.662179661354399,-1.37544276245536,3.0
0.049,1.5609158397246787,-0.0026829506081381908,-0.40598809892157545,-0.10282442926879828,-8.696398612972331,-1.316478547743103,3.0
0.05,1.5605054976159043,-0.002786423272603763,-0.41470196446302676,-0.1041108372795093,-8.73147326201487,-1.256104681638966,3.0
0.051000000000000004,1.5600864239643872,-0.0028911519264356233,-0.42345132336461433,-0.10533617737189728,-8.767381654055349,-1.194347042321663,3.0
0.052000000000000005,1.5596585828635852,-0.0029970748141691502,-0.43223699829169804,-0.10649907880268977,-8.80410159373607,-1.1312317259003069,3.0
0.053,1.5592219375954282,-0.0031041288226806327,-0.4410597895942035,-0.10759819703320067,-8.841610645721584,-1.0667850452262073,3.0
0.054,1.5587764506527535,-0.0032122495075000905,-0.44992047506721106,-0.108632213945404,-8.879886135870613,-1.001033528525339,3.0
0.055,1.5583220837619804,-0.00332137111933939,-0.4588198097128286,-0.10959983805654928,-8.918905152636942,-0.9340039178467906,3.0
0.056,1.5578587979060212,-0.003431426630833968,-0.4677585255035939,-0.1104998047321265,-8.958644548716041,-0.8657231673187435,3.0
0.057,1.557386553347428,-0.003542347763497051,-0.4767373311476365,-0.11133087639699975,-8.999080942935556,-0.7962184412222437,3.0
0.058,1.5569053096517744,-0.00365406501488352,-0.4857569118558669,-0.1120918427445122,-9.040190722409774,-0.7255171118647066,3.0
0.059000000000000004,1.5564150257112679,-0.003766507685962261,-0.4948179291114489,-0.11278152094337074,-9.081950044956761,-0.6536467572627995,3.0
0.06,1.5559156597685913,-0.003879603908693714,-0.5039210204418274,-0.11339875584211216,-9.12433484179458,-0.5806351586229407,3.0
0.061,1.5554071694409723,-0.003993280673811132,-0.5130667991935952,-0.11394242017094994,-9.167320820519706,-0.5065102976230881,3.0
0.062,1.5548895117444752,-0.004107463858801725,-0.5222558543104827,-0.1144114147408015,-9.210883468381724,-0.4313003534876341,3.0
0.063,1.554362643118513,-0.004222078256085909,-0.5314887501147711,-0.11480466863928371,-9.25499805585534,-0.35503369985241745,3.0
0.064,1.5538265194505763,-0.004337047601390387,-0.5407660260924347,-0.11512113942347289,-9.29963964052277,-0.2777389014237647,3.0
0.065,1.5532810961011767,-0.004452294602312834,-0.5500881966823183,-0.1153598133092126,-9.34478307127145,-0.1994447104195256,3.0
0.066,1.5527263279289965,-0.004567740967073524,-0.5594557510696779,-0.11551970535675668,-9.390402992814987,-0.12018006279628532,3.0
0.067,1.5521621693162433,-0.004683307433451228,-0.5688691529844033,-0.11559985965252885,-9.436473850546056,-0.03997407425121326,3.0
0.068,1.5515885741942055,-0.004798913797898286,-0.5783288405042625,-0.11559934948677612,-9.48296989571875,0.04114396398562855,3.0
0.069,1.551005496068999,-0.00491447894483174,-0.5878352258635,-0.11551727752689744,-9.529865190983362,0.12314458960025282,3.0
0.07,1.5504128880475057,-0.005029920876094996,-0.5973886952671408,-0.11535277598621445,-9.577133616260701,0.20599817385900868,3.0
0.07100000000000001,1.5498107028634913,-0.005145156740586397,-0.6069896087113449,-0.1151050067879642,-9.624748874967246,0.28967492649857224,3.0
0.07200000000000001,1.5491988929039031,-0.005260102864048817,-0.6166382998101707,-0.11477316172428068,-9.672684500607023,0.3741449008611173,3.0
0.073,1.5485774102353342,-0.005374674779016121,-0.6263350756291006,-0.11435646260993254,-9.720913863716842,0.45937799925015776,3.0
0.074,1.5479462066306537,-0.005488787254910158,-0.6360802165257013,-0.11385416143058472,-9.769410179175075,0.5453439785190786,3.0
0.075,1.5473052335957909,-0.0056023543282836185,-0.6458739759977733,-0.11326554048535359,-9.81814651388262,0.6320124559040688,3.0
0.076,1.5466544423966668,-0.005715289333202133,-0.6557165805393652,-0.11258991252341476,-9.86709579480753,0.7193529150798893,3.0
0.077,1.5459937840862679,-0.005827504931760234,-0.6656082295050216,-0.11182662087443283,-9.916230817405742,0.8073347124626425,3.0
0.078,1.5453232095318485,-0.005938913144724199,-0.6755490949826328,-0.11097503957257542,-9.965524254409054,0.8959270837383815,3.0
0.079,1.5446426694422588,-0.00604942538229603,-0.6855393216752603,-0.11003457347387707,-10.014948664986843,0.9850991506345049,3.0
0.08,1.5439521143953834,-0.006158952474990921,-0.695579026792311,-0.10900465836671833,-10.064476504278709,1.074819927918512,3.0
