,x1,x2,dx1,dx2
0.0,2.0,0.0,-0.8156873326804087,-16.042984731375018
0.01,1.9918721675023006,-0.15963523544138475,-0.8139877892209515,-15.883772160376148
0.02,1.98355954142538,-0.31764445105098504,-0.860377069471736,-15.714932669074072
0.03,1.9743557632905666,-0.47383041725646186,-0.9992710322289398,-15.514788515008767
0.04,1.963132884034512,-0.6277381452537965,-1.27030709744563,-15.253847070556928
0.05,1.9483992840848046,-0.7785895652124488,-1.7060969655673575,-14.897520359184556
0.06,1.9283864963925867,-0.9252507205995427,-2.3287271129042466,-14.409970150015264
0.07,1.9011755504744472,-1.0662440226097158,-3.1454808012518805,-13.759271638219007
0.08,1.8648658186615383,-1.199817656881232,-4.144839630384268,-12.923570684979934
0.09,1.8177761636919059,-1.3240775776239246,-5.294299299809735,-11.897215581756111
0.1,1.7586521639088573,-1.4371740964783475,-6.54156543686365,-10.69524409921396
0.11,1.6868403847776954,-1.537517762485062,-7.819992254728902,-9.354497169058305
0.12,1.602388562867644,-1.6239846330415173,-9.057738537845376,-7.930306778000623
0.13,1.506043674211873,-1.6960669281488996,-10.188590018469826,-6.489067341480539
0.14,1.3991454558530616,-1.753935723926449,-11.161556650144382,-5.098465758282469
0.15,1.2834410168866428,-1.7984049592391507,-11.946735758074313,-3.8179568911700037
0.16,1.160864745029824,-1.830811489720078,-12.536355164773987,-2.6918090013617797
0.17,1.03333001558849,-1.8528440198825602,-12.941587169381307,-1.7459171786274388
0.18,0.9025670270303682,-1.8663588909434856,-13.186838411281245,-0.9882393197048308
0.19,0.7700222354637132,-1.8732140210183157,-13.303434524380773,-0.4117643709019985
0.2,0.6368176914012313,-1.8751393686481368,-13.324133216567413,0.0013758843874970104
0.21,0.5037579200957331,-1.873649199401341,-13.2791581399735,0.27581672712362304
0.22,0.3713684106276901,-1.8699919972114472,-13.193814164140898,0.43959931796111723
0.23,0.23995124098061713,-1.8651290989946758,-13.08737754288649,0.5218000568254064
0.24,0.10964719847203934,-1.8597322011375619,-12.972835840857694,0.5511009404829943
0.25,-0.019502104299410655,-1.8541913064210027,-12.8570930235139,0.5550887194350891
0.26,-0.1474952995412048,-1.8486271415871969,-12.74136666783327,0.5600164949184451
0.27,-0.27431660282244963,-1.8429047460546872,-12.621629906489728,0.5907663236693393
