,x1,x2,x3,dx1,dx2,dx3,rkStep
2.42,-0.84360461482325,0.03298751024557775,14.197638483781594,2.80601257171196,-6.975673924632173,-38.99093109675769,2.0
2.4210000000000003,-0.8408244071282822,0.026003908149892202,14.158695422830052,2.7544401289444895,-6.991583526529579,-38.895231266031104,2.0
2.422,-0.8380956607276254,0.01900423599784211,14.119847940621876,2.70308919999212,-7.007814712533535,-38.79977331841537,2.0
2.423,-0.8354181564537344,0.01198817017936751,14.081095796148054,2.6519550953294453,-7.024371535026278,-38.704555506483686,2.0
2.424,-0.8327916798196049,0.00495538303043718,14.042438750144644,2.6010331433375993,-7.0412580497213835,-38.60957608751758,2.0
2.4250000000000003,-0.830216021001059,-0.0020944571707291982,14.003876565088161,2.550318689916053,-7.058478316543302,-38.514833323237156,2.0
2.426,-0.8276909748194251,-0.00916168620829675,13.965409005191347,2.499807098094067,-7.076036400501153,-38.42032547952963,2.0
2.427,-0.8252163407245966,-0.01624664393435352,13.927035836399034,2.4494937476414607,-7.093936372557154,-38.32605082617537,2.0
2.428,-0.82279192277849,-0.023349674275283002,13.888756826384459,2.399374034679151,-7.112182310489677,-38.23200763657249,2.0
2.4290000000000003,-0.8204175296388868,-0.03047112523901598,13.850571744545752,2.3494433712891016,-7.13077829975116,-38.13819418745904,2.0
2.43,-0.8180929745436717,-0.03761134892311882,13.8124803620028,2.299697185123962,-7.149728434321091,-38.044608758633395,2.0
2.431,-0.8158180752954514,-0.044770701523764035,13.774482451594233,2.2501309190160463,-7.169036817554226,-37.95124963267212,2.0
2.432,-0.8135926542465742,-0.05194954334551501,13.736577787874845,2.2007400305860894,-7.188707563024126,-37.85811509464603,2.0
2.433,-0.811416538284537,-0.059148238811967915,13.698766147113233,2.1515199918514596,-7.208744795362277,-37.7652034318339,2.0
2.434,-0.8092895588177832,-0.06636715647723057,13.661047307289715,2.102466288833928,-7.2291526510928685,-37.67251293343391,2.0
2.435,-0.8072115517618987,-0.07360666903821798,13.623421048094624,2.053574421167129,-7.249935279463463,-37.580041890272916,2.0
2.436,-0.8051823575261909,-0.08086715334780868,13.585887150926721,2.0048399017033316,-7.2710968432717085,-37.487788594513056,2.0
2.437,-0.8032018210006705,-0.08814899042879369,13.54844539889208,1.9562582561200292,-7.29264151968821,-37.39575133935629,2.0
2.438,-0.8012697915434213,-0.09545256548866582,13.511095576803156,1.9078250225259226,-7.314573501075709,-37.30392841874625,2.0
2.439,-0.7993861229683694,-0.10277826793520699,13.47383747117827,1.8595357510666077,-7.336896995804789,-37.212318127067846,2.0
2.44,-0.7975506735334393,-0.11012649139292197,13.436670870241208,1.8113860035295846,-7.359616229066241,-37.12091875884379,2.0
2.441,-0.7957633059291125,-0.11749763372025045,13.399595563921315,1.7633713529490345,-7.382735443680171,-37.029728608429004,2.0
2.442,-0.7940238872673767,-0.12489209702760616,13.362611343853771,1.7154873832099928,-7.4062589009021185,-36.938745969702005,2.0
2.443,-0.7923322890710769,-0.13231028769620098,13.325718003380299,1.667729688652197,-7.43019088122614,-36.84796913575376,2.0
2.444,-0.7906883872636539,-0.13975261639770362,13.288915337550002,1.6200938736732282,-7.454535685185331,-36.757396398573306,2.0
2.445,-0.7890920621592881,-0.1472194981146646,13.252203143120695,1.5725755523313873,-7.479297634149537,-36.6670260487309,2.0
2.446,-0.7875431984534365,-0.15471135216175746,13.215581218560452,1.525170347947948,-7.5044810711207095,-36.576856375057865,2.0
2.447,-0.786041685213771,-0.1622286022077943,13.179049364049565,1.4778738927090265,-7.5300903615258115,-36.48688566432371,2.0
2.448,-0.7845874158715095,-0.16977167629856627,13.142607381482675,1.4306818272667243,-7.556129894007724,-36.39711220090961,2.0
2.449,-0.7831802882131513,-0.17734100688044066,13.106255074471392,1.3835898003399585,-7.582604081213872,-36.307534266479145,2.0
2.45,-0.7818202043726097,-0.18493703082476584,13.06999224834714,1.336593468314618,-7.609517360583107,-36.21815013964548,2.0
2.451,-0.7805070708237468,-0.19256018945304174,13.033818710164443,1.2896884948432936,-7.636874195130643,-36.12895809563541,2.0
2.452,-0.7792407983733045,-0.20021092856290829,12.99773426870439,1.24287055044424,-7.664679074231555,-36.0399564059495,2.0
2.453,-0.7780213021542411,-0.2078896984548829,12.961738734478585,1.1961353120999492,-7.692936514402543,-35.951143338019115,2.0
2.454,-0.7768485016194675,-0.21559695395989914,12.925831919733367,1.1494784628550185,-7.7216510600824595,-35.862517154859546,2.0
2.455,-0.7757223205359881,-0.223333154467605,12.89001363845446,1.1028956914135213,-7.750827284411472,-35.77407611471964,2.0
2.456,-0.7746426869794402,-0.23109876395547374,12.854283706371826,1.0563826917355466,-7.7804697900092155,-35.68581847072715,2.0
2.457,-0.7736095333290415,-0.2388942510186585,12.818641940965017,1.0099351626333004,-7.81058320975183,-35.59774247053063,2.0
2.458,-0.7726227962629398,-0.24672008890064365,12.78308816146882,0.9635488073664202,-7.841172207548197,-35.50984635593702,2.0
2.459,-0.7716824167539698,-0.25457675552465153,12.747622188879328,0.9172193332367379,-7.8722414791153295,-35.422128362545294,2.0
2.46,-0.7707883400658108,-0.26246473352585886,12.712243845960252,0.8709424511821275,-7.9037957527532905,-35.33458671937555,2.0
2.461,-0.7699405157495564,-0.2703845102843532,12.67695295724974,0.8247138753698601,-7.935839790119429,-35.247219648494095,2.0
2.462,-0.7691388976406873,-0.27833657795888395,12.641749349067497,0.7785293227890809,-7.968378387002338,-35.16002536463382,2.0
2.463,-0.7683834438564556,-0.28632143352136663,12.606632849522363,0.7323845128426634,-8.00141637409544,-35.073002074810304,2.0
2.464,-0.7676741167936727,-0.2943395787921954,12.57160328852014,0.6862751669380776,-8.03495861777056,-34.98614797793282,2.0
2.465,-0.7670108831269115,-0.30239152047629425,12.536660497771955,0.6401970080776687,-8.069010020851316,-34.89946126441088,2.0
2.466,-0.7663937138071156,-0.31047777019996253,12.50180431080292,0.5941457604479918,-8.103575523386674,-34.812940115755694,2.0
2.467,-0.7658225840606226,-0.3185988445484728,12.467034562961302,0.5481171490084262,-8.138660103424586,-34.726582704176785,2.0
2.468,-0.7652974733885951,-0.3267552651044784,12.432351091427936,0.5021068990787227,-8.174268777786082,-34.640387192173044,2.0
2.469,-0.764818365566868,-0.3349475584871592,12.397753735226196,0.45611073592587303,-8.210406602839623,-34.55435173211891,2.0
