,x1,x2,x3,dx1,dx2,dx3
17.2,-0.3659788368167296,0.046658028975529606,0.005679504859383824,-0.0573459955035524,-0.737616368248098,-0.0017074477806178763
17.3,-0.3643414515717403,-0.026823322915400016,0.005511301131065374,0.08950233104869969,-0.7271224695628985,-0.0016568801537349674
17.400000000000002,-0.3482923205579421,-0.09781118235420831,0.005348078909924163,0.22994446935125643,-0.6880074422733456,-0.0016078101333484866
17.5,-0.3187481697386645,-0.1635399023956938,0.005189690664071325,0.3585375426538323,-0.6223789659219147,-0.0015601933664730152
17.6,-0.2771428672699217,-0.2215061510314255,0.005035993230909696,0.4704143397076162,-0.5333547737588543,-0.0015139868136773266
17.7,-0.2253605156658881,-0.26956304563974753,0.0048868476877333535,0.5614650620466576,-0.42491939801765993,-0.0014691487101823114
17.8,-0.1656519974888764,-0.3059983245927926,0.004742119226159268,0.6284855078385749,-0.30174934071908455,-0.0014256385281109607
17.900000000000006,-0.1005386049851373,-0.32959376773528365,0.004601677030277931,0.6692864710710086,-0.16901421528882116,-0.0013834169398563984
18.0,-0.03270682546271397,-0.3396638750697276,0.0044653941584125705,0.682760774002727,-0.032162210014442444,-0.0013424457825347747
18.1,0.035101374426406436,-0.33607267399407376,0.0043331474283802044,0.6689061000713247,0.10330131663459449,-0.0013026880234909286
18.2,0.10019832842918935,-0.319228414475049,0.004204817306150831,0.6288035823259139,0.23203319799120592,-0.001264107726825642
18.3,0.16005616120784466,-0.2900567928145016,0.0040802877978039975,0.5645538573164495,0.3490611220537696,-0.0012266700209141968
18.4,0.21240389114054609,-0.2499541833875473,0.003959446344685253,0.4791739472872547,0.44997353142290714,-0.0011903410668869217
18.5,0.25531245919972484,-0.20072312148636867,0.0038421837216675945,0.3764598209633057,0.531083597269794,-0.0011550880280432059
18.6,0.28726454809142654,-0.14449294036624868,0.003728393938425982,0.26082074942315475,0.5895612714898106,-0.0011208790401713371
18.7,0.3072067198308517,-0.08362899762185268,0.0036179741436357703,0.1370925726393524,0.6235288033683454,-0.0010876831827473712
18.8,0.3145821489887934,-0.020634311519360383,0.0035108245320083003,0.010337689825675898,0.6321166452585175,-0.001055470450986941
18.9,0.3093430316200253,0.041952345556300175,0.0034068482540797794,-0.11436003902383336,0.6154783019283602,-0.0010242117287247996
19.0,0.2919425735083273,0.10165778769700093,0.003305951328671815,-0.23209725063028724,0.5747643339639306,-0.0009938787620975493
19.1,0.26330727277781923,0.1561711836728336,0.003208042557944525,-0.3383419498768306,0.5120573407805145,-0.0009644441340057841
19.200000000000006,0.22479097919307792,0.2034325055408088,0.003113033444965425,-0.42910594423853393,0.4302712601477626,-0.0009358812393325612
19.3,0.17811290605145863,0.24170931320704533,0.0030208381137195955,-0.5010923641967971,0.33301967079822614,-0.0009081642608958
19.4,0.12528236438936752,0.2696590579786053,0.0029313732314887775,-0.5518129063660414,0.22445892228600625,-0.0008812681461128606
19.5,0.06851346168722044,0.2863747170382037,0.0028445579335293703,-0.5796707407282504,0.10911280083538288,-0.000855168584356248
19.6,0.01013334199443449,0.2914122741737832,0.002760313749981054,-0.584006463541882,-0.008313958680438778,-0.0008298419849799173
19.700000000000006,-0.04751226918201323,0.284799310660342,0.002678564534940174,-0.5651059934355765,-0.12312570459010112,-0.0008052654559963769
19.8,-0.10215241827881949,0.2670247333694897,0.0025992363976336096,-0.5241708383435169,-0.23082184168670233,-0.0007814167833852687
19.9,-0.15167949599442757,0.2390104144339351,0.0025222576356310296,-0.46325264435230895,-0.3272714523424282,-0.0007582744110147525
20.0,-0.19422961029685326,0.20206621880338166,0.0024475586700351366,-0.38515531630605276,-0.40886986389862984,-0.0007358174211575423
20.1,-0.22825173346825908,0.15783052585255267,0.002375071982591274,-0.29330922154751177,-0.47267130689152564,-0.000714025515583965
20.200000000000006,-0.25256310047070485,0.10819888526943391,0.0023047320546596183,-0.19162300707725857,-0.5164928704668071,-0.0006928789972149753
20.3,-0.2663889300561776,0.055243866460525544,0.0022364753079947594,-0.08431934025351795,-0.5389861925013595,-0.0006723587523185295
20.4,-0.2693851990733363,0.0011294502851148533,0.002170240047279148,0.024238602335930802,-0.5396746703800489,-0.0006524462332332325
20.5,-0.2616438969553094,-0.051976536886873904,0.0021059664043584585,0.12972283925202646,-0.5189553883336484,-0.0006331234416036356
20.6,-0.24368089306477034,-0.1019884373093695,0.002043596284128484,0.2280114736857882,-0.4780663716377961,-0.0006143729121120395
20.700000000000006,-0.2164072362701319,-0.14698384452512306,0.0019830733120246363,0.3153480871699891,-0.4190211406447702,-0.0005961776966920946
20.8,-0.18108534697556833,-0.18527663617379012,0.0019243427830665993,0.38848354240079175,-0.3445137955534112,-0.0005785213492099315
20.9,-0.1392721323195458,-0.21547921836949552,0.0018673516124120442,0.4447949160345276,-0.2577989681970233,-0.0005613879105989657
21.0,-0.09275153413781853,-0.23655172405964559,0.0018120482873747897,0.4823772917065918,-0.1625518890794967,-0.0005447618944349627
21.1,-0.04345938936206944,-0.24783646889993677,0.001758382820863935,0.5001053025249432,-0.06271450403990216,-0.0005286282729382953
21.200000000000006,0.006596268761905555,-0.24907658563494509,0.0017063067062019763,0.4976625720566176,0.03766598753713954,-0.000512972463390769
21.3,0.05541622039891314,-0.24041840618667434,0.0016557728732810044,0.47553851145295306,0.13459962462843766,-0.0004977803149547186
21.4,0.10108914280360808,-0.22239781332886968,0.0016067356460173871,0.4349932350182114,0.2243107448700323,-0.00048303809588247343
21.5,0.14186567032041725,-0.19591141500097825,0.0015591507010664653,0.37799260557176007,0.30338349260681335,-0.0004687324811046229
21.6,0.17622459251152195,-0.1621739793898964,0.0015129750277599456,0.3071165659541289,0.368890231143362,-0.000454850540185867
21.700000000000006,0.202928719128227,-0.12266408558461328,0.0014681668892297939,0.22544491061836294,0.4184981012686107,-0.0004413797256375674
21.8,0.22106839837602177,-0.0790603737330628,0.0014246857846834855,0.13642546474378398,0.4505499270758455,-0.00042830786157643466
21.9,0.23009120357417856,-0.0331711048983373,0.0013824924127964757,0.043730239051249134,0.4641167609901828,-0.00041562313271908925
22.0,0.22981688053761193,0.01314004671201906,0.0013415486361888851,-0.04889450319211633,0.459020536930114,-0.0004033140737025733
22.1,0.22043724998463024,0.058028953992278864,0.001301817446954198,-0.13777820469038426,0.4358265153337887,-0.0003913695587211326
