,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
6.665,-1.1817339236140687,0.5312666221776448,-1.6582643339482601,-2.8295604290412024,12.618313685205528,-5.9020496018634105,2.0
6.666,-1.1833858736910245,0.5284341198063367,-1.645630729001619,-2.835435249879622,12.648859440403427,-5.847667507574442,2.0
6.667,-1.1850251749269451,0.5255957697296415,-1.6329666886931338,-2.8412559155843717,12.679184320572706,-5.793739996162532,2.0
6.668,-1.1866517969969947,0.5227516258747362,-1.620272434152823,-2.8470228827172726,12.709287825704713,-5.740271019539922,2.0
6.6690000000000005,-1.1882657097977034,0.5199017417102737,-1.6075481869807076,-2.8527366117741666,12.739169515861787,-5.687264493856212,2.0
6.67,-1.1898668834474113,0.5170461702424588,-1.5947941691867347,-2.858397567149131,12.768829011119495,-5.634724299417621,2.0
6.671,-1.1914552882866527,0.5141849640111604,-1.5820106031307617,-2.8640062170986145,12.798265991501928,-5.582654280622579,2.0
6.672,-1.193030894878466,0.5113181750860851,-1.569197711462723,-2.8695630337054703,12.827480196909873,-5.531058245914159,2.0
6.673,-1.1945936740086653,0.5084458550629483,-1.5563557170627,-2.8750684928430226,12.856471427042601,-5.4799399677481055,2.0
6.674,-1.1961435966860308,0.505568055059719,-1.5434848429812458,-2.8805230741390355,12.885239541312705,-5.42930318257782,2.0
6.675,-1.1976806341424535,0.5026848257128769,-1.5305853123796815,-2.885927260939726,12.913784458754657,-5.379151590855136,2.0
6.676,-1.1992047578330207,0.499796217173703,-1.5176573484704894,-2.8912815402737824,12.942106157927064,-5.329488857047294,2.0
6.6770000000000005,-1.2007159394360285,0.49690227910463136,-1.5047011744579082,-2.8965864028163666,12.970204676808406,-5.280318609670485,2.0
6.678,-1.2022141508529487,0.49400306067561256,-1.491717013478534,-2.901842342853202,12.99808011268697,-5.231644441339094,2.0
6.679,-1.203699364208335,0.49109861056051335,-1.4787050885420336,-2.9070498582447155,13.025732622044803,-5.183469908831028,2.0
6.68,-1.2051715518496573,0.48818897693357804,-1.4656656224720912,-2.912209450390208,13.053162420435592,-5.135798533169504,2.0
6.681,-1.2066306863470972,0.4852742074658866,-1.4525988378473085,-2.9173216241921858,13.0803697823573,-5.088633799720172,2.0
6.682,-1.2080767404932635,0.48235434932188764,-1.4395049569424065,-2.9223868880207235,13.107355041118849,-5.041979158304793,2.0
6.683,-1.2095096873028637,0.47942944915594066,-1.4263842016694501,-2.927405753678,13.13411858870172,-4.995838023330373,2.0
6.684,-1.210929500012315,0.47649955310889375,-1.4132367935192107,-2.932378736362966,13.160660875616317,-4.950213773934136,2.0
6.6850000000000005,-1.212336152079287,0.4735647068047203,-1.4000629535027818,-2.9373063546361284,13.186982410753041,-4.9051097541446165,2.0
6.686,-1.2137296171821959,0.470624955347167,-1.38686290209324,-2.9421891303845413,13.213083761228678,-4.860529273058084,2.0
6.687,-1.2151098692196416,0.4676803433164367,-1.3736368591674628,-2.9470275887869803,13.238965552228017,-4.816475605030655,2.0
6.688,-1.2164768823097738,0.4647309147659328,-1.360385043948224,-2.951822258279277,13.264628466840675,-4.772951989886339,2.0
6.689,-1.2178306307896187,0.4617767132189981,-1.3471076749462771,-2.95657367051993,13.290073245893796,-4.7299616331400705,2.0
6.69,-1.2191710892143293,0.4588177816657276,-1.3338049699027874,-2.961282360355884,13.31530068778017,-4.687507706236754,2.0
6.691,-1.2204982323563913,0.45585416255978944,-1.320477145731817,-2.9659488657885995,13.340311648282476,-4.645593346805341,2.0
6.692,-1.2218120352047706,0.45288589781527905,-1.3071244184629895,-2.9705737279403817,13.365107040393607,-4.604221658928216,2.0
6.6930000000000005,-1.2231124729639928,0.44991302880363104,-1.293747003184443,-2.9751574910209504,13.389687834133005,-4.563395713426211,2.0
6.694,-1.2243995210531777,0.4469355963505404,-1.2803451139858602,-2.9797007022943407,13.414055056359654,-4.52311854815846,2.0
6.695,-1.2256731551050148,0.44395364073291677,-1.2669189639016887,-2.984203912046108,13.438209790581642,-4.48339316833738,2.0
6.696,-1.226933350964673,0.4409672016758974,-1.253468764854672,-2.9886676735508173,13.462153176762282,-4.444222546859069,2.0
6.697,-1.2281800846886681,0.4379763183498535,-1.2399947275993966,-2.993092543039932,13.48588641112349,-4.405609624648145,2.0
6.698,-1.2294133325436607,0.4349810293674674,-1.2264970616662163,-2.997479079669991,13.509410745946022,-4.367557311018008,2.0
6.699,-1.2306330710052058,0.4319813727808156,-1.2129759753052596,-3.0018278454911957,13.532727489367163,-4.330068484045608,2.0
6.7,-1.2318392767564486,0.42897738607848246,-1.1994316754306384,-3.006139405416382,13.555838005175978,-4.293145990960928,2.0
6.7010000000000005,-1.2330319266867538,0.42596910618272904,-1.185864367564972,-3.010414327190346,13.578743712606025,-4.256792648551497,2.0
6.702,-1.23421099789029,0.42295656944666815,-1.172274255784011,-3.0146531813596256,13.60144608612613,-4.221011243581152,2.0
6.703,-1.2353764676645584,0.41993981165146965,-1.1586615426614708,-3.0188565412427018,13.623946655229235,-4.185804533223348,2.0
6.704,-1.2365283135088558,0.41691886800362193,-1.1450264292141998,-3.0230249829006044,13.646247004219276,-4.151175245509226,2.0
6.705,-1.2376665131226987,0.4138937731321824,-1.131369114847377,-3.0271590851080306,13.668348771996811,-4.117126079789559,2.0
6.706,-1.238791044404177,0.41086456108609687,-1.1176897973001092,-3.0312594293248747,13.690253651842994,-4.083659707211455,2.0
6.707,-1.2399018854482644,0.40783126533152037,-1.1039886725911223,-3.0353265996682803,13.711963391202564,-4.050778771208935,2.0
6.708,-1.2409990145450736,0.4047939187491654,-1.0902659349646695,-3.0393611828851888,13.733479791465856,-4.018485888007649,2.0
6.7090000000000005,-1.2420824101780483,0.40175255363170215,-1.076521776836769,-3.043363768325368,13.754804707749871,-3.986783647143872,2.0
6.71,-1.2431520510221126,0.39870720168116053,-1.0627563887415499,-3.047334947914999,13.77594004867893,-3.9556746119971984,2.0
6.711,-1.2442079159417638,0.3956578940063588,-1.048969959277818,-3.051275316130802,13.79688777616494,-3.9251613203371014,2.0
6.712,-1.2452499839891047,0.39260466112038467,-1.0351626750559648,-3.05518546997468,13.817649905187302,-3.895246284883561,2.0
6.713,-1.2462782344018357,0.3895475329380608,-1.0213347206449102,-3.059066008948984,13.838228503573102,-3.865931993880962,2.0
