,x1,x2,x3,dx1,dx2,dx3
0.8,-0.049997920889264635,1.8465709593379098,0.7880511736297853,-3.679755312111828,-0.2853896775141127,-0.2330631385572259
0.9,-0.4108235717487242,1.7819638188533768,0.7650711341015071,-3.5132013151447463,-1.0000004200141714,-0.22660921836640058
1.0,-0.7481133475683187,1.6483732541322107,0.7427156935736494,-3.211075282035372,-1.6606302333179597,-0.22056415867874987
1.1,-1.04900455701862,1.4524756639961636,0.720946173276669,-2.7880771703066523,-2.242245042246665,-0.21488279671569754
1.2000000000000002,-1.3023350614989848,1.2032763685716636,0.6997286868646766,-2.263389043400976,-2.7234437789266925,-0.209514742848596
1.3,-1.4990502217678934,0.911706194010118,0.6790345716467322,-1.6598254894198494,-3.0872310578246225,-0.20440623342781591
1.4,-1.6325182373547045,0.5901500909517661,0.658840628717178,-1.0028576154384463,-3.321599931343719,-0.1995020868050405
1.5,-1.698743266150595,0.2519278085857446,0.6391291656417981,-0.3195517828995455,-3.4199055321527108,-0.19474768287632516
1.6,-1.6964699696246062,-0.0892518639459619,0.6198878433156615,0.3625332137844263,-3.3810190681329586,-0.19009088716645106
1.7000000000000002,-1.6271775520789336,-0.4198411681588383,0.6011093363415502,1.0164460665174102,-3.2092605364525184,-0.18548384427738426
1.8,-1.4949657719693876,-0.7269859165232498,0.5827908234836159,1.6168965286845116,-2.914117307893402,-0.18088457222178367
1.9,-1.3063396254534005,-0.9990197966367445,0.5649333311551336,2.1412219185462136,-2.5097640561141437,-0.17625829843284185
2.0,-1.069903273797744,-1.2259016658058772,0.547540958264874,2.5702300932296076,-2.01440704916306,-0.1715784896654237
2.1,-0.7959771611055019,-1.399579698190314,0.5306200148826409,2.8888880609398755,-1.4494822998527725,-0.16682754108507175
2.2,-0.49615502358901653,-1.5142694670359962,0.5141781099522597,3.0868321295161367,-0.8387422528428596,-0.16199710402991627
2.3000000000000003,-0.18281952996984008,-1.5666367104307364,0.4982232245980947,3.1586830366012824,-0.20726939090861693,-0.15708804664228576
2.4000000000000004,0.1313634515559452,-1.5558794864255825,0.4827628074163464,3.1041575554204686,0.41954274566413363,-0.1521100562094086
2.5,0.4339515247752015,-1.4837085098570408,0.4678029265509307,2.92797629198111,1.0170001654984395,-0.14708090604832985
2.6,0.7132133178611954,-1.3542285145398887,0.4533475104178047,2.6395754557351694,1.5620708596371848,-0.14202542257866282
2.7,0.958578022377012,-1.1737273411624334,0.43939770480456364,2.2526379805232457,2.0342619761808836,-0.13697419936555813
2.8000000000000003,1.1610299113154667,-0.9503829646295328,0.42595136892200797,1.7844662051516669,2.4163787745142815,-0.13196211397768193
2.9000000000000004,1.3134333497497124,-0.6939017127819632,0.41300272704541485,1.2552241384959926,2.6951377419333173,-0.12702671017477735
3.0,1.4107768545729638,-0.4151033808458643,0.4005421859063472,0.6870819231872441,2.861612583621206,-0.1222065120012774
3.1,1.4503281935492864,-0.12547072753793975,0.38855632124807915,0.10329831812864967,2.911498838622138,-0.11753933770874797
3.2,1.431696194744589,0.1633181073808704,0.37702803021149606,-0.4727212554378755,2.845190336743961,-0.11306068006251842
3.3000000000000003,1.3567987147729443,0.4398554250596378,0.36593683974041,-1.0183533549761583,2.6676682905332303,-0.10880221561585424
3.4000000000000004,1.2297399368285182,0.6934496418679087,0.35525935523639585,-1.5126353879631116,2.38821121048395,-0.1047904991683743
3.5,1.0566036910573278,0.9145335988269022,0.34496982847864716,-1.9370609647078085,2.0199407517764785,-0.10104589116453049
3.6,0.8451726752753237,1.0950201160319082,0.33504081954509873,-2.2762619718162678,1.579224783060605,-0.09758175560993393
3.7,0.6045861841834241,1.228591800636653,0.3254439242774585,-2.5185526894225787,1.0849641825383058,-0.094403954625527
3.8,0.3449511313344047,1.310914980797927,0.31615053682910893,-2.656317232082517,0.5577939272689264,-0.09151065350117936
3.9,0.07692269535068064,1.3397708442340646,0.30713261607619313,-2.686228169495879,0.019231811035323884,-0.08889243755229059
4.0,-0.18872820815598418,1.3151002749806402,0.2983634251633409,-2.609291106331554,-0.5091904790533317,-0.08653272972814893
