,x1,x2,dx1,dx2
0.0,2.0,0.0,-0.8,-16.0
0.01,1.9920275426041485,-0.15904438314717356,-0.7985172286796219,-15.809020425353623
0.02,1.9838726192959268,-0.31616438963323024,-0.8440103141327999,-15.612895206034478
0.03,1.974846928809278,-0.4712254235600918,-0.9794687441446657,-15.393422867030008
0.04,1.9638554924396097,-0.6238665084445203,-1.2430351684390963,-15.123833011251305
0.05,1.9494532646617588,-0.7734250063508181,-1.6661683801505967,-14.771014510607865
0.06,1.929926390623035,-0.9188888941282399,-2.270563618814656,-14.298881928736646
0.07,1.9034093416500082,-1.05889008314553,-3.0641561632091747,-13.673251067717375
0.08,1.8680430888567305,-1.1917539240950645,-4.03711187750794,-12.868128098220327
0.09,1.8221675258180006,-1.3156154562078766,-5.159263592630923,-11.872553083847661
0.1,1.7645253118171904,-1.4286001157010673,-6.3806487717692,-10.696311319647236
0.11,1.6944396930390744,-1.5290470980806077,-7.636273409644393,-9.372410364754405
0.12,1.6119237430616078,-1.6157341231121494,-8.854886371122687,-7.9547139440539825
0.13,1.5176890656122621,-1.6880530322003586,-9.969873493529349,-6.5106149823517505
0.14,1.4130472802512206,-1.7460939757326732,-10.929280403800579,-5.110513558472126
0.15,1.2997277056297722,-1.7906207636204126,-11.70217804707578,-3.8171087098000975
0.16,1.1796560381426213,-1.8229506780903513,-12.28003364514259,-2.6773975384598203
0.17,1.0547428430138066,-1.8447750834115546,-12.673597371622646,-1.7189528816477075
0.18,0.9267184252579586,-1.8579643617681518,-12.907090494777032,-0.9503694516841648
0.19,0.7970306214786859,-1.8643930304614273,-13.011748305179328,-0.3645840410999728
0.2,0.6668036908137027,-1.8658055346829396,-13.020245400587832,0.05657180944019258
0.21,0.5368452228915682,-1.863727939544062,-12.962722307252093,0.3379219282396801
0.22,0.4076843902727013,-1.8594201753807953,-12.864455966140225,0.5073643573671128
0.23,0.27962659995143974,-1.853858558251816,-12.744837299971469,0.5934039567803006
0.24,0.15281370651121104,-1.8477377148325713,-12.617207611008824,0.6237055178191621
