,x1,x2,dx1,dx2
0.0,2.0,0.0,-0.2144618096312285,-3.9902954583185677
0.1,1.939228545098751,-0.39227414777588765,-0.994196422154463,-3.8295128660042543
0.2,1.8030096453430813,-0.7609578777629037,-1.7185574933345091,-3.5205789882914313
0.30000000000000004,1.598284102096271,-1.0919550075178617,-2.3600357339817863,-3.0787624046928475
0.4,1.3345593391276172,-1.3729500906030088,-2.8949662784852674,-2.524273017684665
0.5,1.0234805361966932,-1.5938588462006913,-3.3043855116608416,-1.8813610052069911
0.6000000000000001,0.6783260410223297,-1.7471810710080804,-3.5746843171298606,-1.1772745254831718
0.7000000000000001,0.3134485754680763,-1.8282440829291442,-3.698036101546284,-0.441120305826124
0.8,-0.0563145472666972,-1.8353293216840882,-3.6725873024552103,0.29732582038166744
0.9,-0.41623822996723925,-1.7696795045391922,-3.5024077346272056,1.0088103536341289
1.0,-0.7522896742684794,-1.6353885130984915,-3.1972076828204794,1.665748381774022
1.1,-1.051669140485704,-1.4391807804189078,-2.7718377321461256,2.243280241714654
1.2000000000000002,-1.3032908063108959,-1.1900911787073973,-2.245595590914893,2.7201986417004544
1.3,-1.498185939068788,-0.8990601167371512,-1.6413712952276038,3.079712242224469
1.4,-1.6298140349449382,-0.5784616068403606,-0.9846679305188555,3.3100188619324875
1.5,-1.6942715139418818,-0.24158434684355395,-0.30253916421175653,3.4046695567760374
1.6,-1.6903918254349444,0.09791269204140021,0.37751267624814844,3.3627134779038297
1.7000000000000002,-1.6197352405236676,0.4265481144686197,1.0286335855798152,3.188622292008489
1.8,-1.4864710058701538,0.7315476485799682,1.6256666379704394,2.892001691431314
1.9,-1.29715873587249,1.001334824606375,2.146112032840128,2.487105787196244
2.0,-1.0604397636645329,1.2259641777709813,2.5709622845068663,1.9921776491734944
2.1,-0.7866525119733789,1.3974810250889822,2.885382093476576,1.428645654737144
2.2,-0.4873886604912998,1.5101950981102048,3.0792092072167283,0.820210399578773
2.3000000000000003,-0.1750088825967385,1.5608589825458319,3.1472601460416394,0.19186053724667507
2.4000000000000004,0.13786186312730447,1.5487462670048533,3.0894327194884608,-0.4311420648985571
2.5,0.4388391039338363,1.4756283746148997,2.91060546192756,-1.0242670835008025
2.6,0.7162637209990299,1.345653079629616,2.62034214556394,-1.56467087921173
2.7,0.9596481472518257,1.165131537787784,2.232417070439366,-2.032065263559794
2.8000000000000003,1.1600670434400882,0.9422441369744339,1.7641835962795074,-2.4094673101661663
2.9000000000000004,1.3104781437811048,0.6866784733066986,1.235814118519976,-2.683803003362705
3.0,1.4059620189903301,0.4092151683785594,0.6694441947871302,-2.846343858277219
3.1,1.443872943013268,0.1212789827891898,0.08825664572466842,-2.8929626821295686
3.2,1.4238967265935103,-0.1655263056837027,-0.4844569093384843,-2.824202084374539
3.3000000000000003,1.3480151455280158,-0.43988052898222274,-1.0262195000967713,-2.64515688089341
3.4000000000000004,1.22038029339634,-0.6911890147188124,-1.516241022162599,-2.3651788745390423
3.5,1.0471056826017862,-0.909986681119659,-1.9362057807389137,-1.9974193449552933
3.6,0.8359840697399535,-1.0882891365583283,-2.2709459559980285,-1.5582306836405608
3.7,0.5961446741044002,-1.2198779883237134,-2.5089767023970846,-1.0664537399566463
3.8,0.33766459437616547,-1.300510430764142,-2.642874566666049,-0.5426214170991371
3.9,0.0711507352748415,-1.328046382202711,-2.6694874831669413,-0.008111740766022625
4.0,-0.1926906134928435,-1.302489839610673,-2.5899715083259243,0.5157150622733166
4.1000000000000005,-0.4434792681876055,-1.2259445813772463,-2.4096564080948752,1.0083610170825466
4.2,-0.6715649847764621,-1.1024877334533185,-2.1377489379215757,1.450983366143164
4.3,-0.8683941092560954,-0.9379678903686216,-1.7868888921644903,1.827105744946756
4.4,-1.0268253086334957,-0.7397373288004033,-1.37257851262796,2.123221123626444
4.5,-1.1413829433258773,-0.5163302617338555,-0.9125104308056078,2.3292648958170203
4.6000000000000005,-1.2084393435838847,-0.2771009694364301,-0.4258228132593108,2.4389420768038708
4.7,-1.2263202443345134,-0.03183694554175912,0.0676873314519524,2.449898673315501
4.800000000000002,-1.195330790286955,0.20963712692759234,0.548360708451018,2.3637336550703085
4.9,-1.1177027179550667,0.43784871765581096,0.9974504471811676,2.1858543360475595
