,x1,x2,dx1,dx2
0.0,0.13449222260740878,-0.3438250687375821,-0.08153429881087845,-0.000800881771233268
0.1,0.126339093605117,-0.3438625828847957,-0.08151929560514465,3.274222429886734e-05
0.2,0.11819004154344274,-0.3438219836241446,-0.08145393724212785,0.0007624755316599156
0.30000000000000004,0.11004975571297933,-0.3437133290894957,-0.08134507733459163,0.0013949759330571737
0.4,0.10192226195436495,-0.34354600126901697,-0.08119912521980334,0.0019370953658054244
0.5,0.09381096871136133,-0.3433286903596994,-0.08102201528751324,0.002395806391225817
0.6000000000000001,0.08571871562623752,-0.34306938592178143,-0.08081918653991108,0.002778139644226481
0.7000000000000001,0.07764782373334037,-0.34277537376351563,-0.0805955708109185,0.0030911316598937113
0.8,0.06960014646053704,-0.34245323755623597,-0.08035558814844888,0.003341782300221639
0.9,0.061577120792534676,-0.3421088642635414,-0.08010314797435021,0.003537020889708482
1.0,0.05357981808206379,-0.34174745256119,-0.0798416547705715,0.0036836801027321123
1.1,0.04560899411279473,-0.34137352352164524,-0.07957401718681088,0.003788476618550877
1.2000000000000002,0.037665138120752915,-0.3409909329357107,-0.07930265961677707,0.0038579975624339485
1.3,0.0297485205686989,-0.3406028847407688,-0.07902953544142027,0.0038986917758583157
1.4000000000000001,0.021859239540728964,-0.3402119451189735,-0.07875614128392931,0.003916864998161617
1.5,0.013997265682855003,-0.33982005691812006,-0.07848353176021464,0.003918678090977032
1.6,0.006162485660380256,-0.339428554132106,-0.07821233433838902,0.003910147490839967
1.7000000000000002,-0.001645255864541736,-0.33903817625656874,-0.07794276404065487,0.003897147131277337
1.8,-0.009426115710695238,-0.3386490824083668,-0.07767463783086448,0.0038854111311805595
1.9000000000000001,-0.017180213075877283,-0.33826086516519155,-0.07740738863109313,0.0038805365998969958
2.0,-0.024907591819146722,-0.3378725641439766,-0.0771400790013279,0.0038879859605723674
2.1,-0.03260818409871628,-0.3374826793941701,-0.07687141459837465,0.003913088241796271
2.2,-0.04028177535231919,-0.3370891847345973,-0.07659975760380504,0.003961038834039476
2.3000000000000003,-0.047927970629218705,-0.33668954121071976,-0.0763231403765246,0.004036897252666056
2.4000000000000004,-0.055546162311546125,-0.3362807108926557,-0.07603927964342266,0.00414558249475948
2.5,-0.06313549929655728,-0.3358591712732634,-0.07574559159132997,0.00429186562420602
2.6,-0.0706948577498495,-0.3354209305596448,-0.0754392082645823,0.004480359270220876
2.7,-0.07822281358166694,-0.33496154418015234,-0.07511699570391117,0.00471550378069029
2.8000000000000003,-0.08571761684311517,-0.3344761328517369,-0.074775574282828,0.005001549835269383
2.9000000000000004,-0.09317716828522472,-0.3339594025684226,-0.07441134170545165,0.005342537395970071
3.0,-0.10059899836998644,-0.33340566687983714,-0.07402049912287738,0.005742270956640161
3.1,-0.10798024906715717,-0.3328088718278977,-0.07359908080150082,0.0062042911485686485
3.2,-0.11531765881200429,-0.3321626238987006,-0.07314298773391884,0.006731842868241822
3.3000000000000003,-0.12260755103520127,-0.3314602213240739,-0.07264802551892068,0.00732784021512843
3.4000000000000004,-0.12984582670457,-0.33069468903185345,-0.07210994674972938,0.007994828661538198
3.5,-0.13702796133689119,-0.3298588174945815,-0.0715244980376457,0.008734945021289926
3.6,-0.14414900694406568,-0.32894520566208707,-0.07088747166096572,0.009549875936164983
3.7,-0.15120359936899347,-0.3279463080837418,-0.0701947616669564,0.010440815754621554
3.8000000000000003,-0.1581859714402431,-0.3268544862310348,-0.06944242406961947,0.011408424830352148
3.9000000000000004,-0.16508997232877262,-0.32566206392105407,-0.06862674058143894,0.012452789411991936
4.0,-0.17190909342294008,-0.324361386617841,-0.06774428509862539,0.013573384421443001
4.1000000000000005,-0.17863650094873748,-0.3229448842536019,-0.06679199193384877,0.014769040517756328
4.2,-0.18526507545036638,-0.32140513706855955,-0.06576722456734885,0.01603791690668282
4.3,-0.19178745811272935,-0.3197349438209245,-0.06466784347768131,0.017377481373288546
4.4,-0.1981961037539426,-0.3179273915722627,-0.06349227142974848,0.018784498977553996
4.5,-0.204483340146521,-0.31597592611351427,-0.06223955445299315,0.020255030753458213
4.6000000000000005,-0.21064143314363515,-0.31387442197120896,-0.060909416651080975,0.02178444358550883
4.7,-0.21666265689908615,-0.3116172508270224,-0.05950230695736144,0.023367432201482796
4.800000000000001,-0.22253936828340304,-0.3091993471040528,-0.05801943599871544,0.024998053918543726
4.9,-0.22826408441966814,-0.3066162694278928,-0.05646280136234765,0.026669776417970723
5.0,-0.23382956210321673,-0.3038642566624769,-0.054835199777293835,0.028375538413483968
5.1000000000000005,-0.23922887773420395,-0.3009402772567219,-0.053140225024921925,0.03010782263440916
5.2,-0.24445550629240803,-0.29784207071830354,-0.051382250772003396,0.03185874008806023
5.300000000000001,-0.24950339782431924,-0.2945681801572927,-0.049566397964127235,0.033620124117619
5.4,-0.2543670499008466,-0.2911179750117181,-0.04769848690763731,0.03538363235698466
5.5,-0.25904157454223414,-0.287491663275528,-0.045784974682727735,0.03714085432612887
5.6000000000000005,-0.263522758196918,-0.2836902927897054,-0.043832879042995786,0.03888342213165166
5.7,-0.2678071135010641,-0.2797157414208045,-0.041849690440736845,0.040603121555581156
5.800000000000001,-0.2718919217315051,-0.2755706962273838,-0.0398432742460725,0.042292000744041915
5.9,-0.27577526508981304,-0.2712586219923779,-0.03782176557781598,0.04394247375259041
6.0,-0.27945604821050973,-0.2667837197666563,-0.03579345941537956,0.045547416366064526
6.1000000000000005,-0.2829340085612839,-0.26215087631463874,-0.033766698800599404,0.0471002518796724
